BOOK,CATEGORY
Hacking with Python The Ultimate Beginner’s Guide,Programming
machine learning for the small and the many,Artificial Intelligence
"Applied Machine Learning, Feature encoding and assorted tricks",Artificial Intelligence
Hands-On Machine Learning with Scikit-Learn and TensorFlow,Artificial Intelligence
Hands-On Machine Learning with Scikit-Learn and TensorFlow,Artificial Intelligence
Introduction to Machine Learning Using Python,Artificial Intelligence
Scikit-learn is a package for performing machine learning in Python,Artificial Intelligence
MACHINELEARNING ERA IN CYBERSECURITY,Artificial Intelligence
Python Machine Learning Project,Artificial Intelligence
Mastering Machine Learning with scikit-learn,Artificial Intelligence
Machine learning in NLP Introduction to the scikit-learn library,Artificial Intelligence
Machine Learning with Python/Scikit-Learn,Artificial Intelligence
scikit-learn,Artificial Intelligence
Text preprocessing with Python,Artificial Intelligence
 Text Clustering and Classification,Artificial Intelligence
Bag of Words Meets Bags of Popcorn which focuses on sentiment analysis,Artificial Intelligence
Data Cleaning and Text Preprocessing,Artificial Intelligence
Scikit-learn: Machine Learning Without Learning the Machinery,Artificial Intelligence
Face Recognition with Python,Artificial Intelligence
 Facial recognition using deep neural networks,Artificial Intelligence
Mastering OpenCV 4 with Python,Artificial Intelligence
FACE RECOGNITION SYSTEM,Artificial Intelligence
A Literature Survey on Face Recognition Techniques,Deep learning
MySQL and PHP,Deep learning
"Learning PHP, MySQL, JavaScript,and CSS",Deep learning
PHP 6 AND MYSQL 5 FOR DYNAMIC WEB SITES,Deep learning
Advanced PHP Programming,Deep learning
Getting Up and Running with PHP,Deep learning
PHP is a scripting language primarily used to make interactive web pages,Deep learning
Server running PHP,Deep learning
What is PHP?,Deep learning
XAMPP (the full Monty) or XAMPP,Deep learning
Apache – a web server to send out the pages,Deep learning
PHP – interpreter for the PHP language,Deep learning
MySQL – database software,Deep learning
Structure & Interpretation of Computer Programs,Deep learning
Machine Learning for Hackers,Deep learning
Python for Data Analysis,Deep learning
"Signal and the Noise, The",Deep learning
Statistical Decision Theory',Deep learning
Data Mining Handbook,Deep learning
"Nature of Statistical Learning Theory, Vapnik, Vladimir",Deep learning
"Data Smart, Foreman, John",Deep learning
"Image Processing with MATLAB, Eddins, Steve",Artificial Intelligence
"Image Processing & Mathematical Morphology, Shih, Frank",Artificial Intelligence
"Learning OpenCV,Bradsky, Gary",Artificial Intelligence
"Data Scientists at Work,Sebastian Gutierrez",Deep learning
Natural Language and the Computer Representation of Knowledge,Deep learning
a chapter from Natural Language Processing with Python,Deep learning
Analysis of the UN General Debate Corpus from a computational social science perspective,Deep learning
Automating Open Science for Big Data,Deep learning
Big data is not only about data: the two cultures of modelling,Deep learning
Big Data Methods for Social Science and Policy,Deep learning
Intelligible Machine Learning Models for Healthcare,Deep learning
Intro to Computational Social Science MS&E 231,Deep learning
Introduction to Computational Thinking and Data Science,Deep learning
Introduction to Computational Tools for Social Science,Deep learning
Introduction to Computational Tools for Social Science (PS239T) course,Deep learning
Natural Language and the Computer Representation of Knowledge,Deep learning
Natural Language Processing,Deep learning
Scattertext-PyData - A guide to using the python package Scattertext,Deep learning
Sentiment Analysis on Product Reviews,Deep learning
Introduction to Cultural Analytics with Python,Deep learning
Introduction to Data Science for Politics and IR,Deep learning
Professional SQL Server 2000 Programming,Computer Science
MySQL,Computer Science
Fundamentals of Database Systems,Computer Science
ColdFusion MX Web Application Construction Kit,Computer Science
Data Mining: Practical Machine Learning Tools and Techniques with Java Implementations,Deep learning
How To Do Everything with Your Tablet PC,Computer Science
The Data Warehouse Toolkit: The Complete Guide to Dimensional Modeling,Deep learning
SQL Server 2000 for Experienced DBA's,Computer Science
OCP: Oracle9i Certification Kit,Computer Science
Google Hacks,Computer Science
Real World FPGA Design with Verilog,Computer Science
Ldap System Administration,Computer Science
The Photoshop Book for Digital Photographers,Computer Science
Photoshop 7 Down & Dirty Tricks,Computer Science
Mac OS X v. 10.2 Jaguar Killer Tips,Computer Science
Persuasive Technology: Using Computers to Change What We Think and D,Computer Science
The C++ programming language,Programming
The C Programming Language ,Programming
JavaScript: The Good Parts,Programming
Artificial Intelligence,Deep learning
Structure and Interpretation of Computer Programs,Programming
The UNIX programming environment,Computer Science
How to design programs,Programming
Programming Ruby,Programming
Learning Python,Programming
UNIX Network Programming,Computer Science
"Growing Object-Oriented Software, Guided by Tests",Programming
Programming Perl,Programming
Effective Java,Programming
Agile software development,Programming
Introduction To The Theory Of Computation,Programming
The C++ programming language,Programming
Object-oriented software construction,Programming
Accelerated C++,Programming
Php And Mysql Web Development,Programming
Sams teach yourself MySQL in 24 hours,Programming
Reviewing C++,Programming
Assembly Language,Programming
Essentials of programming languages,Programming
Genetic Programming,Programming
Expert C Programming,Programming
Reviewing Java,Programming
Django Web Development with Python,Programming
Introductiontowebdevelopmentwith PythonandDjangoDocumentation,Programming
Web Development with Django Cookbook,Programming
